"identifiant";"prenom";"nom";"region";"departement";"numero_circonscription";"profession";"groupe_politique_complet";"groupe_politique_abrege"
"793756";"Franéois";"Piquemal";"Occitanie";"Haute-Garonne";"4";"Enseignant";"La France insoumise - Nouveau Front Populaire";"LFI-NFP"
"722070";"Pierre";"Henriet";"Pays de la Loire";"Vendée";"5";"Professeur du secondaire et technique";"Horizons & Indépendants";"HOR"
"332228";"Thierry";"Benoit";"Bretagne";"Ille-et-Vilaine";"6";"Représentant de commerce";"Horizons & Indépendants";"HOR"
"794810";"Louise";"Morel";"Grand Est";"Bas-Rhin";"6";"Cadre administratif et commercial d'entreprise";"Les Démocrates";"Dem"
"793354";"Joélle";"Mélin";"Provence-Alpes-Céte d'Azur";"Bouches-du-Rhéne";"9";"Médecin expert judiciaire";"Rassemblement National";"RN"
"774962";"Karine";"Lebon";"Réunion";"Réunion";"2";"Professeure des écoles";"Gauche Démocrate et Républicaine";"GDR"
"841745";"Pascale";"Bay";"Auvergne-Rhéne-Alpes";"Rhéne";"9";"Enseignante retraitée";"Droite Républicaine";"DR"
"795386";"Mathieu";"Lefévre";"Ile-de-France";"Val-de-Marne";"5";"Cadre de la fonction publique";"Ensemble pour la République";"EPR"
"695512";"Guillaume";"Lepers";"Nouvelle-Aquitaine";"Lot-et-Garonne";"3";"(37) - Cadre administratif et commercial d'entreprise";"Droite Républicaine";"DR"
"793772";"Christophe";"Bex";"Occitanie";"Haute-Garonne";"7";"Retraité";"La France insoumise - Nouveau Front Populaire";"LFI-NFP"
"841507";"Nicolas";"Bonnet";"Auvergne-Rhéne-Alpes";"Puy-de-Déme";"3";"(38) - Ingénieur et cadre technique d'entreprise";"écologiste et Social";"EcoS"
"840685";"Vincent";"Trébuchet";"Auvergne-Rhéne-Alpes";"Ardéche";"2";"(37) - Cadre administratif et commercial d'entreprise";"UDR";"UDR"
"842097";"Sophie-Laurence";"Roy";"Bourgogne-Franche-Comté";"Yonne";"2";"(31) - Profession libérale";"Rassemblement National";"RN"
"720370";"Ludovic";"Mendes";"Grand Est";"Moselle";"2";"Cadre supérieur (secteur privé)";"Ensemble pour la République";"EPR"
"795362";"Lisa";"Belluco";"Nouvelle-Aquitaine";"Vienne";"1";"Cadre de la fonction publique";"écologiste et Social";"EcoS"
"719890";"Danielle";"Brulebois";"Bourgogne-Franche-Comté";"Jura";"1";"Retraitée de l'enseignement";"Ensemble pour la République";"EPR"
"842255";"Anne";"Sicard";"Ile-de-France";"Val-d'Oise";"1";"(37) - Cadre administratif et commercial d'entreprise";"Rassemblement National";"RN"
"795844";"Karen";"Erodi";"Occitanie";"Tarn";"2";"Profession libérale";"La France insoumise - Nouveau Front Populaire";"LFI-NFP"
"841919";"Dieynaba";"Diop";"Ile-de-France";"Yvelines";"9";"(34) - Professeur, profession scientifique";"Socialistes et apparentés";"SOC"
